place_id,historical_name,county_id,modern_place,modern_uncertain
451,Bysztra,4,BISTRA,
452,Bysztrycza,4,BISTRICA,
453,Byxad,1,BISAG,
454,Byxad cum pertinentiis,1,BISAG,
455,Byzagh,1,BISAG,
456,Byzkelethycz,1,,
457,Byznafew,1,,
458,Byzthra,4,BISTRA,
459,Byzthra ad Zomzewdwara,4,BISTRA,
460,Byzthrycha,4,BISTRICA,
461,Byzthrycza,4,BISTRICA,
462,Byzthrycze,4,BISTRICA,
463,Byztra,4,BISTRA,
464,Byztricza,4,BISTRICA,
465,Byztricza cum pertinentiis,4,BISTRICA,
466,Byztrycza,4,BISTRICA,
467,Byztrycze,4,BISTRICA,
468,Byztrycze cum pertinentiis,4,BISTRICA,
469,Camarcha,1,,
470,"Camarcha, Thwlowa",1,,
471,Campus,1,,
472,Campus-Sancta Maria Virginis in Campo,1,,
473,Capella,1,STARA KAPELA,
474,"Cappela,Kelyanowcz",1,,
475,Captholowcz,1,,
476,Cargoucz,2,CERKOVEC,
477,Carlowcz,1,KARLOVEC,
478,Casma,1,ČAZMA,
479,Cerabarda,1,,
480,Cerztwecz,1,,
481,Chakowcz,1,,
482,"Chakowcz, Brezyna",1,,
483,Chaktornya,1,,
484,Chalyncz,2,ČALINEC,
485,Channyo,1,ČANJEVO,
486,Chano,1,ČANJEVO,
487,Chanyo,1,ČANJEVO,
488,"Chanyo, Prezeka, Rauen",1,"ČANJEVO,",1
489,Chapalowcz,1,,
490,Chapolowcz,1,,
491,Chargowcz,2,,1
492,Charzyncz,1,,
493,Chasma,1,ČAZMA,
494,Chasma-in pertinentiis,1,ČAZMA,
495,Chasmafew,1,ČAZMA,1
496,Chawlyncz,2,,
497,Chazarwara,2,CESARGRAD,
498,Chazarwara-castrum cum pertinentiis,2,CESARGRAD,
499,Chazmafew,1,ČAZMA,
500,Chebenowcz,1,,
501,Chehowyna ad portionem,1,,
502,Chekno,1,,
503,Chelowechky,2,,
504,Chelychye,1,,
505,Chelycze,1,,
506,Chemernicha,1,,
507,Chemernicza,1,,
508,Chemernycha,1,,
509,Cheperlyncz,2,,1
510,"Cheperlyncz, Stefancz",2,", ŠTEFANEC, OTOK",1
511,"Cheperlyncz, Stephancz, Othok",2,,1
512,"Cheperlyncz, Zenth Kelemen",2,BARTOLOVEC,
513,"Cheperlyncz, Zenthkelemen",2,,
514,"Cherbenye, Lwkawecz",1,,
515,Cherbyncz,2,,
516,Cherchan ad Gemlech,1,,
517,Chereborda,1,,
518,Cheresnye,2,,
519,Cheresnyo,2,,
520,"Cheresnyo, Wydowcz",2,,
521,Cherkowczy,4,,
522,Chernacz,3,,
523,Chernareca,1,,
524,Chernareka,1,,
525,Chernchan ad Gemlecz,1,,
526,Chernech,3,,
527,Chernecz,3,,
528,"Cherneleucz, Toplychycza",4,", TOPLIČICA",1
529,Chernesoucz,1,,
530,Chernkocz,4,ČRNKOVEC,
531,Chernkowch,4,ČRNKOVEC,
532,Chernkowcz,4,ČRNKOVEC,
533,"Chernkowcz, Schytaryo",4,"ČRNKOVEC, ŠČITARJEVO",
534,Chernomerch,4,ČRNOMEREC,
535,Chernomercz,4,ČRNOMEREC,
536,Chernomercz (Medwe),4,ČRNOMEREC,
537,Chernomerecz,4,ČRNOMEREC,
538,Chernossowcz,1,,
539,"Chernylewch, Thoplychycha",4,", TOPLICA",1
540,Chernylno,4,,
541,Chero berdo,1,,
542,Cherowoberdo,1,,
543,Cherthwecz,1,,
544,Chertwecz,1,,
545,Cherwylno,4,,1
546,Cherzthwecz,1,ČVRSNEC,
547,Cherzthweczfew,1,ČVRSNEC,
548,Cherztwecz,1,ČVRSNEC,
549,Cherztwecz Zenth Pether,1,SVETI PETAR ČVRSNEC,
550,Cherzwecz,1,,
551,Chesthylowcz,1,,
552,Chethertekhel,1,,
553,Chethwecz,1,,
554,Chezmycza Zenth Iwan,1,,
555,Chezthylowcz,1,,
556,Cheztylowcz,1,,
557,Chezwecz,1,,
558,Chialyncz,2,,
559,Chnesancz,1,,
560,Chorgowcz,2,,1
561,Chowcowyna,1,,
562,Chowkowyna,1,,
563,Chrechan,4,,
564,Chrechancz,4,,
565,Chremysthe,1,,
566,Chrenchan ad Gemnecz,1,,
567,"Chresnevo, Obres",2,,
568,Chresno,1,,
569,Chresnyo,1,,
570,Chreztwecz*,1,,
571,Christalocz,1,,
572,Christhalowcz,1,,
573,Chrysthalowcz-cum provincia et pertinentiis,1,,
574,Chucher,4,ČUČERJE,
575,Chwcher,4,ČUČERJE,
576,Chwcherye,4,ČUČERJE,
577,Chwchwwachincz,1,,
578,Chwdowcz,1,,
579,"Chwdowcz, Wynarcz",1,SUDOVEC I VINAREC,
580,Chwthenya,1,,
581,Chyanyo,1,ČANJEVO,
582,Chyazarwara,2,CESARGRAD,
583,Chycherye,4,ČUČERJE,
584,Chychyrye,4,ČUČERJE,
585,Chyglana,1,,
586,Chyglena,1,,
587,Chygleno,1,,
588,Chystho Hrastye,3,,
589,Chystho Hrazthya,3,,
590,Chyzarwara,2,CESARGRAD,
591,Chyzta Hrazthya,3,,
592,Chyztahrazthya,3,,
593,Cirquena,1,,
594,Civitas Montis Grecensis Zagrabiensis,4,GRIČ,
595,Civitas Montis Grecensis Zagrabiensis (taxa 500 fl),4,GRIČ,
596,"Clobwk, Jalsewcz, Zenth Iwan",1,,
597,Clokochewcz,1,KLOKOČEVEC,
598,Clwch,1,,
599,Cnesancz,1,,
600,Conthowcz,1,,
601,Copathowcz,1,,
602,Copozowcz,1,,
603,Corbowa,1,,
604,Coren,1,,
605,"Coren, Zdela",1,,
606,Coroska,1,,
607,Corpus Christi in Prodauiz,1,,
608,Cothnyak,1,,
609,Coznethyno,1,,
610,Coznycza,4,KOSNICA,
611,Coznycza cum pertinentiis,4,KOSNICA,
612,Coztanowcz,1,KOSTANJEVAC,
613,Coztel-castrum cum pertinentiis,2,KOSTEL,
614,Crachowcz,1,,
615,Crapyna,2,KRAPINA,
616,"Craschych, Wywodyna",4,"KRAŠIĆ,",1
617,Crassulcz,2,,
618,Crawaryna,1,,
619,Crawarzka,4,,
620,Crawloch,1,,
621,Crethyn in Dobrachwcha,1,,
622,Crisiensis-civitas superior,1,KRIŽEVCI,
623,Crisium,1,KRIŽEVCI,
624,Crisium-civitas,1,KRIŽEVCI,
625,Crisium-civitas (taxa 500 fl),4,KRIŽEVCI,
626,Crisium-civitas inferior,1,KRIŽEVCI (INF.),
627,Crisium-civitas superior,1,KRIŽEVCI (SUP.),
628,Crisium-claustri,1,KRIŽEVCI,
629,Crisium-claustrum,1,KRIŽEVCI,
630,Crisium-inferior civitas,1,KRIŽEVCI,
631,Crisium-superior civitas,1,KRIŽEVCI,
632,Crisnychya,1,,
633,Crisnychya ad Galgoycza,1,,
634,Crisowlan,1,KRIŽOVLJAN,
635,Crisowlyan,1,KRIŽOVLJAN,
636,Cristallowcz,1,,
637,Cristalowcz,1,,
638,Cristhalowcz,1,,
639,Cristocz,1,,
640,Crysancz,2,,
641,Crysthalowcz,1,,
642,Crysthesawcz-ad Galgowcz,1,,
643,Cryznychycha-ad Zenthywan dicata,1,,
644,Csalyncz,2,ČALINEC,
645,Cwlpowcz,1,,
646,Cyglena,1,,
647,Cyrquena,1,,
648,Czarghowcz,2,,
649,Czargowcz,2,,1
650,Czazarwara,2,,
651,"Czebowcz, Kos",2,,
652,Czekno,1,,
653,Czelyche,1,,
654,Czeraberda,1,,
655,Czereborda,1,,
656,Czerowaberda,1,,
657,Czerowycza Zenth Iwan,1,,1
658,Czerowycza Zenth Iwan- ad Zenth Gergerwara,1,,
659,Czerowycza Zentiwan,1,,
660,Czerowycza-ad Zenth Gerghwara,1,,
661,Czerye,4,CERJE,
662,Czerzthwecz,1,,
663,Czome,1,,
664,Czwethkowych,4,CVETKOVIĆ,
665,Czwethkowychy,4,CVETKOVIĆ,
666,Czwethkowychy ad Okych,4,CVETKOVIĆ,
667,Czwethkoych-judicatus ad Okych,4,CVETKOVIĆ,
668,Czyczerye,4,,
669,Czyglenycza,2,CIGLENICA,
670,Czyrquena,1,CIRKVENA,
671,Czywczerye,4,ČUČERJE,
672,Damerye,4,DEMERJE,
673,Danowcz,1,,
674,Darnocz-cum pertinenciis,1,,
675,Darnowcz,1,,
676,Darnowcz cum pertinentiis,1,,
677,Darnowcz- cum pertinentiis,1,,
678,Darnowcz-cum pertinenciis,1,,
679,Darnowcz-cum pertinentiis,1,,
680,Darozlo Bakwa,1,,
681,Dawch,1,,
682,Deche,1,,
683,Declyna,1,,
684,Decze,3,,
685,Dedochay sub Pokwpye,4,,1
686,Demerie,4,DEMERJE,
687,Demerye,4,DEMERJE,
688,Dercowcz,1,,
689,Derkowcz,1,,
690,Dersze,3,,
691,Derze,3,,
692,Desnycze,1,,
693,Desowcz,1,,
694,Deykowcz-de Waska,1,,
695,Dezsnych- judicatus (Jazthrebarzka-castrum),4,,
696,Dimikowcz,1,,
697,Dimitrowcz,1,DIMITROVEC,
698,Dimytroucz,2,DIMITROVEC,
699,Districtus Capituli Zagrabiensis,4,KAPTOL,
700,Districtus dominorum Capituli ecclesiae Zagrabiensis,4,KAPTOL,
