authority_id,canonical_name,modern_place,county_id,n_variants,n_entries,method,needs_review,lat,lon,hide_from_map
300,Chwdowcz,Sudovec i Vinarec,1,1,1,manual,1,46.1058330,16.3630500,0
301,"Chwdowcz, Wynarcz",Sudovec i Vinarec,1,1,1,singleton,0,46.1058330,16.3630500,0
302,Chwthenya,Kutina,1,1,4,manual,0,45.5186851,16.7911430,0
303,Chyglana,Mala Ciglena,1,1,1,manual,0,45.8934246,16.9412226,0
304,Cyglena,Dulepska,1,2,2,manual,0,45.8945450,16.3426353,0
305,Chygleno,Dulepska,1,1,1,manual,0,45.8945450,16.3426353,0
306,Chystho Hrastye,,3,1,1,singleton,0,,,0
307,Chystho Hrazthya,,3,1,1,singleton,0,,,0
308,Chyztahrazthya,,3,2,2,orthographic-fuzzy,1,,,0
309,Czyrquena,Cirkvena,1,3,7,orthographic-exact,0,45.9351219,16.6580807,0
310,Civitas Montis Grecensis Zagrabiensis,Zagreb - Grič,4,5,14,manual,0,45.8162301,15.9735992,0
311,Clobwk - Jalsewcz - Zenth Iwan,Čvrstec,1,1,1,manual,1,46.0044639,16.6638832,0
312,Klokochowcz,Klokočevec,1,3,6,modern,0,45.8336653,15.7024738,0
313,Clwch,Lipovac Lonjski,1,2,2,manual,0,45.7819400,16.4511100,0
314,Conthowcz,Grubišno Polje,1,1,1,manual,0,45.7021875,17.1722368,0
315,Copathowcz,Gornja Kovačica,1,1,3,manual,0,45.7710030,17.1093385,0
316,Copozowcz,Čazma,1,1,1,manual,0,45.7483719,16.6132008,0
317,Corbowa,Grbavac,1,1,1,manual,0,45.7113545,17.1014906,0
318,Coren,Korenovo,1,1,1,manual,0,45.8585850,16.8114639,0
319,Coren - Zdela,Korenovo,1,1,2,manual,1,45.8585850,16.8114639,0
320,Coroska,Koruška,1,1,1,manual,0,46.0226772,16.5359181,0
321,Omnii Sancti in Prodauiz,Virje,1,2,2,manual,1,46.0671920,16.9886896,0
322,Cothnyak,Kutnjak,1,1,1,manual,1,46.2717025,16.7807856,0
323,Coznethyno,Mučna,1,1,1,manual,0,46.0689337,16.7375944,0
324,Koznycza,Kosnica,4,14,40,modern,0,45.7506038,16.0853697,0
325,Coztanowcz,Kostanjevac,1,1,1,singleton,0,46.0049015,16.9391526,0
326,Kozthel,Kostel,2,8,19,modern,0,46.1839785,15.7256223,0
327,Crachowcz,,1,1,1,singleton,0,,,0
328,Krapyna,Krapina,2,7,22,modern,0,46.0983218,15.9377404,0
329,"Craschych, Wywodyna",Krašić,4,1,1,singleton,0,45.6540864,15.5174579,0
330,Crassulcz,,2,1,1,singleton,0,,,0
331,Crawaryna,Grahovljani,1,1,3,manual,0,45.4929786,17.2552754,0
332,Crawarzka,Kravarsko,4,1,1,manual,0,45.5864987,16.0471926,0
333,Crawloch,,1,1,1,singleton,0,,,0
334,Crethyn in Dobrachwcha,,1,1,1,singleton,0,,,0
335,Crisium,Križevci,1,7,18,modern,0,46.0247391,16.5457794,0
336,Crisium-civitas taxa 500 fl,Križevci,4,1,1,manual,0,46.0247000,16.5460000,0
337,Crisium-civitas inferior,Križevci (inf.),1,1,5,singleton,0,46.0247391,16.5457794,0
