county,authority_id,canonical_name,place_ids,raw_spellings,years,n_entries
Varaždinska županija,428,"Egwdowcz, Chargowcz, Polyana",835,"Egwdowcz, Chargowcz, Polyana",1507,1
Varaždinska županija,429,"Egywdo, Charkowcz",836,"Egywdo, Charkowcz",1513,1
Varaždinska županija,433,Erpenye,848,Erpenye,1543,1
Varaždinska županija,481,Gayancz,946,Gayancz,1507,1
Varaždinska županija,486,Geramuczyak,952,Geramuczyak,1513,1
Varaždinska županija,490,Geremchari,956,Geremchari,1596,1
Varaždinska županija,565,Gywrkethyncz,1118,Gywrkethyncz,1513,1
Varaždinska županija,643,Jacupelcz,1261,Jacupelcz,1507,1
Varaždinska županija,659,Jalsownyk,1301,Jalsownyk,1596,1
Varaždinska županija,737,Knesyncz,1481,Knesyncz,1507,1
Varaždinska županija,745,Kochewcz,1493,Kochewcz,1533,1
Varaždinska županija,747,Kochycze-insula,1495,Kochycze-insula,1596,1
Varaždinska županija,757,"Komor, Wladyzlowcz",1509,"Komor, Wladyzlowcz",1507,1
Varaždinska županija,778,"Kordwssowcz, Pethrossowcz",1542,"Kordwssowcz, Pethrossowcz",1543,1
Varaždinska županija,791,Kos,1560,Kos,1553,1
Varaždinska županija,793,Koskolcz,1563,Koskolcz,1513,1
Varaždinska županija,798,Kowachewcz,1571,Kowachewcz,1596,1
Varaždinska županija,800,"Kowachowcz, Radoboye",1573,"Kowachowcz, Radoboye",1543,1
Varaždinska županija,877,Lepenyak,1764,Lepenyak,1596,1
Varaždinska županija,885,Lesthak,1776,Lesthak,1513,1
Varaždinska županija,886,"Lesthakowcz, Berethyncz, Tharnowcz",1779,"Lesthakowcz, Berethyncz, Tharnowcz",1507,1
Varaždinska županija,946,Marosolcz,1933,Marosolcz,1513,1
Varaždinska županija,947,"Marosolcz, Krysolyan",1934,"Marosolcz, Krysolyan",1513,1
Varaždinska županija,955,Marthynzky,1950,Marthynzky,1513,1
Varaždinska županija,1092,Orbowcz,2296,Orbowcz,1507,1
Varaždinska županija,1207,Popowcz,2554,Popowcz,1543,1
Varaždinska županija,1228,Pregory,2588,Pregory,1543,1
Varaždinska županija,1230,Prennar,2590,Prennar,1507,1
Varaždinska županija,1252,Pwhakowcz,2634,Pwhakowcz,1570,1
Varaždinska županija,1273,Radoboya,2663,Radoboya,1507,1
Varaždinska županija,1290,Rathkolcz,2702,Rathkolcz,1513,1
Varaždinska županija,1342,Rwdynwelge,2812,Rwdynwelge,1513,1
Varaždinska županija,1350,Sabnyk Zenthberthalam,2826,Sabnyk Zenthberthalam,1513,1
Varaždinska županija,1353,Salmocz,2829,Salmocz,1513,1
Varaždinska županija,1365,Sancte Crucis Insula,2845,Sancte Crucis Insula,1507,1
Varaždinska županija,1388,Sebastyanowcz,2889,Sebastyanowcz,1596,1
Varaždinska županija,1393,Serdethyncz,2914,Serdethyncz,1507,1
Varaždinska županija,1407,Srachyncz,2937,Srachyncz,1543,1
Varaždinska županija,1474,Thomasewcz,3059,Thomasewcz,1596,1
Varaždinska županija,1475,"Thomassewcz, Cherncz, Byskupowcz",3060,"Thomassewcz, Cherncz, Byskupowcz",1507,1
Varaždinska županija,1476,Thoplicensis,3062,Thoplicensis,1507,1
Varaždinska županija,1503,Tracostyan,3103,Tracostyan,1507,1
Varaždinska županija,1531,Vrbanowcz,3157,Vrbanowcz,1513,1
Varaždinska županija,1585,Woynche,3315,Woynche,1543,1
Varaždinska županija,1592,Wrathkowcz,3336,Wrathkowcz,1507,1
Varaždinska županija,1631,Zawercza,3450,Zawercza,1513,1
Varaždinska županija,1683,Zenth Kerezth,3565,Zenth Kerezth,1513,1
Varaždinska županija,1694,Zenth Mihal sub Komor,3579,Zenth Mihal sub Komor,1507,1
Varaždinska županija,1696,Zenth Myhal,3583,Zenth Myhal,1513,1
Varaždinska županija,1702,"Zenth Wyd, Chresnevo",3592,"Zenth Wyd, Chresnevo",1507,1
Varaždinska županija,1703,"Zenth Wyd, Zayezda",3593,"Zenth Wyd, Zayezda",1513,1
Varaždinska županija,1773,Zthassinowczy,3791,Zthassinowczy,1570,1
Virovitička županija,49,Bakwa,101,Bakwa,1507,1
Virovitička županija,113,Bethowcz,223,Bethowcz,1507,1
Virovitička županija,256,Chernacz,522,Chernacz,1520,1
Virovitička županija,292,Chystho Hrastye,588,Chystho Hrastye,1520,1
Virovitička županija,293,Chystho Hrazthya,589,Chystho Hrazthya,1517,1
Virovitička županija,625,Ilowa cum pertinentiis,1223,Ilowa cum pertinentiis,1507,1
Virovitička županija,691,"Jwgowcz, Powsincz",1391,"Jwgowcz, Powsincz",1507,1
Virovitička županija,889,Lezkov,1791,Lezkov,1507,1
Virovitička županija,1089,Oppidum,2292,Oppidum,1517,1
Virovitička županija,1093,Orehocz,2297,Orehocz,1513,1
Virovitička županija,1126,"Panynch, Chernech, Antholowcz, Thremech",2384,"Panynch, Chernech, Antholowcz, Thremech",1517,1
Virovitička županija,1288,"Ranyncz, Chernecz, Antholowcz, Thremecz",2700,"Ranyncz, Chernecz, Antholowcz, Thremecz",1513,1
Virovitička županija,1295,"Rauencz, Chernyncz, Anthalowcz, Tremecz",2715,"Rauencz, Chernyncz, Anthalowcz, Tremecz",1507,1
Virovitička županija,1557,"Wereucze-oppidum- Bwssocz, Dobownyk",3224,"Wereucze-oppidum- Bwssocz, Dobownyk",1520,1
Virovitička županija,1578,"Wogrynincz, utraque Rawennyk",3277,"Wogrynincz, utraque Rawennyk",1513,1
Virovitička županija,1723,Zkakalo,3677,Zkakalo,1513,1
Virovitička županija,1724,Zkakolo,3678,Zkakolo,1517,1
Zagrebačka županija,2,Abbatia,2,Abbatia,1509,1
Zagrebačka županija,31,Area Capitulari-vicus,71,Area Capitulari-vicus,1517,1
Zagrebačka županija,59,Barychewo,116,Barychewo,1520,1
Zagrebačka županija,108,"Beryzlaucz, Kalynye",214,"Beryzlaucz, Kalynye",1596,1
Zagrebačka županija,115,Bigzaagh,225,Bigzaagh,1517,1
Zagrebačka županija,141,Bona-Johannes Alapi,286,Bona-Johannes Alapi,1533,1
Zagrebačka županija,143,Bona-Zlwny,289,Bona-Zlwny,1533,1
Zagrebačka županija,179,Brezthye,367,Brezthye,1509,1
Zagrebačka županija,208,Byenyk ad Topozka (predium),427,Byenyk ad Topozka (predium),1517,1
Zagrebačka županija,211,Bygzad-citra Lonyam,431,Bygzad-citra Lonyam,1520,1
Zagrebačka županija,265,Chernylno,540,Chernylno,1573,1
Zagrebačka županija,318,Crawarzka,619,Crawarzka,1546,1
Zagrebačka županija,373,Dobrowa Czerzka,716,Dobrowa Czerzka,1507,1
Zagrebačka županija,400,Dremowa (Drenowa*),773,Dremowa (Drenowa*),1570,1
Zagrebačka županija,413,Dwmowcz,800,Dwmowcz,1573,1
Zagrebačka županija,426,Ecclesia Zagrabiensis,833,Ecclesia Zagrabiensis,1517,1
Zagrebačka županija,427,Eghywdowcz,834,Eghywdowcz,1517,1
Zagrebačka županija,450,Felsew Pozawye / Zablathye,874,Felsew Pozawye / Zablathye,1520,1
Zagrebačka županija,489,Gerecz,955,Gerecz,1520,1
Zagrebačka županija,502,Golyak- judicatus (Jazthrebarzka-castrum),978,Golyak- judicatus (Jazthrebarzka-castrum),1574,1
Zagrebačka županija,510,Goricza in episcopatu Zagrabiensi,995,Goricza in episcopatu Zagrabiensi,1509,1
Zagrebačka županija,514,Gorycza Maiori,1001,Gorycza Maiori,1574,1
Zagrebačka županija,582,"Hergowicza, Pwzta Dwsa",1146,"Hergowicza, Pwzta Dwsa",1509,1
Zagrebačka županija,599,Hraschyna ad Greben cum pertinentiis,1172,Hraschyna ad Greben cum pertinentiis,1520,1
Zagrebačka županija,600,Hraschyna in pertinentiis Greben,1173,Hraschyna in pertinentiis Greben,1517,1
Zagrebačka županija,602,Hrasthye,1175,Hrasthye,1520,1
Zagrebačka županija,606,Hrazthowycza-pertinencia,1180,Hrazthowycza-pertinencia,1546,1
Zagrebačka županija,607,Hrazthowycze-pertinantiae,1182,Hrazthowycze-pertinantiae,1568,1
Zagrebačka županija,610,Hrebyncz,1189,Hrebyncz,1570,1
Zagrebačka županija,636,Ista parte Zawe (s ove strane Save),1239,Ista parte Zawe (s ove strane Save),1507,1
Zagrebačka županija,692,Jwrowlyan,1394,Jwrowlyan,1554,1
Zagrebačka županija,701,Kamenie,1412,Kamenie,1553,1
Zagrebačka županija,715,Kepchancz,1445,Kepchancz,1570,1
Zagrebačka županija,751,Kolchewczy (Bosyako),1500,Kolchewczy (Bosyako),1568,1
Zagrebačka županija,801,"Koyenyk, Sythny Othok, Koznycza, Zelnycza",1574,"Koyenyk, Sythny Othok, Koznycza, Zelnycza",1517,1
Zagrebačka županija,802,"Koyenyk-judicatus, Koznycza",1575,"Koyenyk-judicatus, Koznycza",1582,1
Zagrebačka županija,835,"Kwchye, Lownycza",1661,"Kwchye, Lownycza",1520,1
Zagrebačka županija,838,Kwpchanoz,1665,Kwpchanoz,1567,1
Zagrebačka županija,910,Lownicza,1821,Lownicza,1509,1
Zagrebačka županija,919,Lwsye,1867,Lwsye,1520,1
Zagrebačka županija,938,Malkowch,1917,Malkowch,1520,1
Zagrebačka županija,1020,Myholnya,2089,Myholnya,1546,1
Zagrebačka županija,1028,Myndzenth,2121,Myndzenth,1573,1
Zagrebačka županija,1088,Opathowyna (dempto Gorzko),2278,Opathowyna (dempto Gorzko),1570,1
Zagrebačka županija,1180,Podgorya-plebanatus,2497,Podgorya-plebanatus,1582,1
Zagrebačka županija,1191,Podwerh,2517,Podwerh,1507,1
Zagrebačka županija,1199,Pokwpsky Werh,2532,Pokwpsky Werh,1576,1
Zagrebačka županija,1212,Poszawye,2560,Poszawye,1573,1
Zagrebačka županija,1218,Pozawya,2569,Pozawya,1520,1
Zagrebačka županija,1241,Processus Georgii Pyzacz ultra Kwppam,2614,Processus Georgii Pyzacz ultra Kwppam,1533,1
Zagrebačka županija,1247,Prybychy,2621,Prybychy,1520,1
Zagrebačka županija,1257,Pwschya,2641,Pwschya,1520,1
Zagrebačka županija,1259,Pwztha Dwsycza,2643,Pwztha Dwsycza,1520,1
Zagrebačka županija,1260,"Pwztha Dwsycza, Hergoychy-ad Hrazthowycza pertinentes",2644,"Pwztha Dwsycza, Hergoychy-ad Hrazthowycza pertinentes",1517,1
Zagrebačka županija,1263,Pyskopowczy,2648,Pyskopowczy,1509,1
Zagrebačka županija,1267,Rachythoych,2656,Rachythoych,1520,1
Zagrebačka županija,1344,Rypach,2815,Rypach,1533,1
Zagrebačka županija,1361,Sancta Maria sub Okych,2841,Sancta Maria sub Okych,1554,1
Zagrebačka županija,1362,Sancta Maria-plebanatus,2842,Sancta Maria-plebanatus,1520,1
Zagrebačka županija,1370,Sancti Martinus,2850,Sancti Martinus,1554,1
Zagrebačka županija,1387,"Sczezhwpnycze, Zlanowch sub Medwewar",2888,"Sczezhwpnycze, Zlanowch sub Medwewar",1520,1
Zagrebačka županija,1409,Stenyowcz,2940,Stenyowcz,1582,1
Zagrebačka županija,1449,Thassolcz,3024,Thassolcz,1520,1
Zagrebačka županija,1462,"Thernawa, Nowaki",3038,"Thernawa, Nowaki",1517,1
Zagrebačka županija,1470,Thersych ad Okych,3054,Thersych ad Okych,1517,1
Zagrebačka županija,1471,Thersych-oppidum ad Okych,3055,Thersych-oppidum ad Okych,1520,1
Zagrebačka županija,1481,Thopozka,3072,Thopozka,1533,1
Zagrebačka županija,1484,Thossewczy,3075,Thossewczy,1568,1
Zagrebačka županija,1485,Thossowcz,3076,Thossowcz,1517,1
Zagrebačka županija,1491,Threwm,3085,Threwm,1520,1
Zagrebačka županija,1495,Thwran-castrum cum pertinentiis,3090,Thwran-castrum cum pertinentiis,1573,1
Zagrebačka županija,1499,Thwropolia,3094,Thwropolia,1573,1
Zagrebačka županija,1507,Turkousschyna aliter Zuhodol,3117,Turkousschyna aliter Zuhodol,1596,1
Zagrebačka županija,1514,Velykagora,3136,Velykagora,1546,1
Zagrebačka županija,1527,Vokssyncz,3151,Vokssyncz,1596,1
Zagrebačka županija,1589,Wradchya,3321,Wradchya,1509,1
Zagrebačka županija,1594,Wratza,3340,Wratza,1570,1
Zagrebačka županija,1603,"Wywodina-districtus cum pertinentiis, Craysthychy",3388,"Wywodina-districtus cum pertinentiis, Craysthychy",1517,1
Zagrebačka županija,1604,"Wywodyna cum pertinentiis castri Ozel, Kraschyschy",3389,"Wywodyna cum pertinentiis castri Ozel, Kraschyschy",1520,1
Zagrebačka županija,1746,Zomnycza,3723,Zomnycza,1553,1
Zagrebačka županija,1769,Zthankowo ad Okych,3783,Zthankowo ad Okych,1517,1
Zagrebačka županija,1770,Zthankowo-judicatus ad Okych,3784,Zthankowo-judicatus ad Okych,1520,1
Zagrebačka županija,1775,Zthermecz,3793,Zthermecz,1517,1
Zagrebačka županija,1778,Zthrebynzky Werh,3797,Zthrebynzky Werh,1573,1
Zagrebačka županija,1781,Zthwpnych-ad Zomzedwara,3805,Zthwpnych-ad Zomzedwara,1520,1
