county,query,lat,lon,display_name,source
1,OBEDIŠĆE,45.7548925,16.3090960,"Obedišće Ježevsko, Općina Rugvica, Zagrebačka županija, Hrvatska",nominatim
1,OBREŠKA,45.7852319,16.4522465,"Donja Obreška, Općina Kloštar Ivanić, Zagrebačka županija, Hrvatska",nominatim
1,OBREŽ,46.1182956,16.4352972,"Obrež Kalnički, Općina Kalnik, Koprivničko-križevačka županija, 48269, Hrvatska",nominatim
1,OPATINEC,45.7172645,16.3718025,"Opatinec, Grad Ivanić-Grad, Zagrebačka županija, Hrvatska",nominatim
1,OPATOVEC,,,,nominatim
1,OPOROVEC,45.8523340,16.0622955,"Mjesni odbor Oporovec, Gradska četvrt Gornja Dubrava, Zagreb, Grad Zagreb, 20040, Hrvatska",nominatim
1,OREHOVEC,46.0721813,16.4613862,"Orehovec, Općina Sveti Petar Orehovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,OREHOVEC SVETI PETAR,46.0721813,16.4613862,"Orehovec, Općina Sveti Petar Orehovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,OTOK,45.7934210,16.5881516,"Otok, Svinjarec, Općina Dubrava, Grad Čazma, Zagrebačka županija, Hrvatska",nominatim
1,PARUŽEVAC,45.8350330,16.4979893,"Paruževac, Općina Dubrava, Zagrebačka županija, 10342, Hrvatska",nominatim
1,PETROVINA,45.6928387,16.0312510,"Petrovina Turopoljska, Grad Velika Gorica, Zagrebačka županija, Hrvatska",nominatim
1,PODBREŽJE,45.7687175,15.9688941,"Podbrežje, Mjesni odbor Siget, Gradska četvrt Novi Zagreb - zapad, Zagreb, Grad Zagreb, 10020, Hrvatska",nominatim
1,PODJALES,45.9398153,16.4864737,"Podjales, Općina Gradec, Zagrebačka županija, 10345, Hrvatska",nominatim
1,POGANČEC,45.9455926,16.3865448,"Pogančec, Općina Preseka, Zagrebačka županija, 10346, Hrvatska",nominatim
1,POLJANA,45.8474060,16.4411653,"Poljana, Grad Vrbovec, Zagrebačka županija, 10340, Hrvatska",nominatim
1,POLJE,45.9643556,16.7430610,"Polje, Kraljevac, Općina Rovišće, Bjelovarsko-bilogorska županija, 43212, Hrvatska",nominatim
1,POTOK,46.1152597,16.4821263,"Potok Kalnički, Općina Kalnik, Koprivničko-križevačka županija, 48269, Hrvatska",nominatim
1,PRAŠČEVAC,45.9195895,16.6499108,"Prašćevac, Općina Farkaševac, Zagrebačka županija, 10344, Hrvatska",nominatim
1,PRESEKA,45.9768556,16.3871555,"Preseka, Općina Preseka, Zagrebačka županija, Hrvatska",nominatim
1,PRESEČNO,46.1964754,16.3469746,"Presečno, Grad Novi Marof, Varaždinska županija, Hrvatska",nominatim
1,PREČEC,45.7614497,16.3527958,"Prečec, Općina Brckovljani, Zagrebačka županija, Hrvatska",nominatim
1,RAKITNICA,45.8332906,16.6861952,"Rakitnica, Blatnica, Općina Štefanje, Bjelovarsko-bilogorska županija, 43246, Hrvatska",nominatim
1,RAKOVAC,46.2592379,16.4390278,"Rakovac, Kelemen, Općina Jalžabet, Varaždinska županija, Hrvatska",nominatim
1,RAKOVEC,46.1746769,16.4228180,"Rakovec, Općina Ljubešćica, Varaždinska županija, Hrvatska",nominatim
1,Rakovec,45.9333,16.3167,"Rakovec (hist. Rokonok/Rakonok oppidum near Vrbovec), Općina Rakovec, Zagrebačka županija",manual
1,RASINJA,46.1879999,16.7085329,"Rasinja, Općina Rasinja, Koprivničko-križevačka županija, Hrvatska",nominatim
1,RAVEN,45.9888598,16.4849942,"Mali Raven, Grad Križevci, Koprivničko-križevačka županija, Hrvatska",nominatim
1,REMETINEC,45.9270441,16.5534121,"Remetinec, Općina Gradec, Zagrebačka županija, Hrvatska",nominatim
1,REPINEC,45.9496503,16.5053178,"Repinec, Festinec, Općina Gradec, Zagrebačka županija, 10345, Hrvatska",nominatim
1,RIJEKA,,,,nominatim
1,ROŽENICA,45.5438055,16.0095091,"Roženica, Općina Pokupsko, Zagrebačka županija, Hrvatska",nominatim
1,SELA,45.5084333,16.3019739,"Sela, Grad Sisak, Sisačko-moslavačka županija, Hrvatska",nominatim
1,STARA KAPELA,45.8909545,16.6063210,"Stara Kapela, Općina Dubrava, Zagrebačka županija, Hrvatska",nominatim
1,SUDOVEC,46.1058330,16.3630500,"Sudovec, Grad Novi Marof, Varaždinska županija, Hrvatska",nominatim
1,SUDOVEC I VINAREC,46.1058330,16.3630500,"[via 'SUDOVEC'] Sudovec, Grad Novi Marof, Varaždinska županija, Hrvatska",nominatim
1,SV. KLARA,,,(no confident match near Križevci seat; red fallback),manual
1,SV. MARTIN,45.9982709,16.5197248,"[via 'Sveti MARTIN'] Sveti Martin, Grad Križevci, Koprivničko-križevačka županija, Hrvatska",nominatim
1,SV. ĐURĐ,46.2812323,16.6055042,"[via 'Sveti ĐURĐ'] Općina Sveti Đurđ, Varaždinska županija, Hrvatska",nominatim
1,SVETI IVAN ŽABNO,45.9464805,16.6055861,"Sveti Ivan Žabno, Općina Sveti Ivan Žabno, Koprivničko-križevačka županija, Hrvatska",nominatim
1,SVETI PETAR ČVRSNEC,,,,nominatim
1,SVINJAREC,45.8022580,16.5670104,"Svinjarec, Općina Dubrava, Zagrebačka županija, Hrvatska",nominatim
1,TKALEC,45.9705265,16.4497054,"Gornji Tkalec, Grad Vrbovec, Zagrebačka županija, Hrvatska",nominatim
1,TRNOVEC,46.2981151,16.4428652,"Općina Trnovec Bartolovečki, Varaždinska županija, Hrvatska",nominatim
1,TUČENIK,45.9412351,16.5289692,"Tučenik, Općina Gradec, Zagrebačka županija, 10345, Hrvatska",nominatim
1,VELIKA,45.9545093,16.7024843,"Velika, Općina Rovišće, Općina Sveti Ivan Žabno, Bjelovarsko-bilogorska županija, Hrvatska",nominatim
1,VIDOVEC,46.2863481,16.2504203,"Općina Vidovec, Varaždinska županija, 42205, Hrvatska",nominatim
1,VINAREC,46.1005165,16.4466304,"Vinarec, Općina Sveti Petar Orehovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,VINARI,45.7483221,16.4167433,"Vinari, Kloštar Ivanić, Općina Kloštar Ivanić, Zagrebačka županija, 10312, Hrvatska",nominatim
1,VINIČNO,46.0780080,16.3007264,"Vinično, Općina Visoko, Varaždinska županija, Hrvatska",nominatim
1,VISOKA,,,,nominatim
1,VOJNOVEC,46.1205647,16.4244075,"Vojnovec Kalnički, Općina Kalnik, Koprivničko-križevačka županija, Hrvatska",nominatim
1,VRBOVEC,45.8856479,16.4181159,"Grad Vrbovec, Zagrebačka županija, Hrvatska",nominatim
1,VRBOVO,46.0773588,16.2326727,"Vrbovo, Općina Hraščina, Krapinsko-zagorska županija, Hrvatska",nominatim
1,ZABRĐE,45.8836821,16.5016177,"Zabrđe, Općina Gradec, Zagrebačka županija, Hrvatska",nominatim
1,Zamladinec,46.0836111,16.4891667,"Zamladinec, Sveti Petar Orehovec, Koprivničko-križevačka županija",manual
1,ZAVRŠJE,,,,nominatim
1,ZELINA,45.9597901,16.2430942,"Sveti Ivan Zelina, Grad Sveti Ivan Zelina, Zagrebačka županija, Hrvatska",nominatim
1,ČANJEVO,46.1063890,16.3394440,"Čanjevo, Općina Visoko, Varaždinska županija, Hrvatska",nominatim
1,ČAZMA,45.8383124,16.7079896,"Česma, Bjelovarsko-bilogorska županija, Hrvatska",nominatim
1,ČVRSNEC,,,,nominatim
1,ĐELEKOVEC,46.2506365,16.8637838,"Općina Đelekovec, Koprivničko-križevačka županija, Hrvatska",nominatim
1,ŠTEFANEC,46.3031360,16.4579003,"Štefanec, Općina Trnovec Bartolovečki, Varaždinska županija, Hrvatska",nominatim
2,BABINEC,46.3718386,16.1094420,"Babinec, Općina Cestica, Varaždinska županija, Hrvatska",nominatim
2,BARTOLOVEC,46.2970896,16.4351454,"Bartolovec, Općina Trnovec Bartolovečki, Varaždinska županija, Hrvatska",nominatim
2,BELA,46.2074177,16.2552179,"Bela, Grad Novi Marof, Varaždinska županija, Hrvatska",nominatim
2,BELEC,46.1317740,16.1205009,"Belec, Grad Zlatar, Krapinsko-zagorska županija, 49254, Hrvatska",nominatim
2,BELETINEC,46.2220831,16.3110767,"Beletinec, Općina Sveti Ilija, Varaždinska županija, Hrvatska",nominatim
2,BERETINEC,46.2501436,16.3036423,"Beretinec, Općina Beretinec, Varaždinska županija, 42201, Hrvatska",nominatim
2,BISKUPEC,46.2856962,16.3354777,"Biškupec, Varaždin, Grad Varaždin, Varaždinska županija, 42104, Hrvatska",nominatim
2,BIŠKUPEC,46.2856962,16.3354777,"Biškupec, Varaždin, Grad Varaždin, Varaždinska županija, 42104, Hrvatska",nominatim
2,BORKOVEC,46.1080568,16.0835029,"Borkovec, Grad Zlatar, Krapinsko-zagorska županija, Hrvatska",nominatim
2,BUDINŠČINA,46.1269062,16.2037628,"Općina Budinšćina, Krapinsko-zagorska županija, 49284, Hrvatska",nominatim
2,CERKOVEC,,,,nominatim
2,CESARGRAD,46.0601275,15.7222748,"Cesargrad, D205, Mihanovićev Dol, Grad Klanjec, Krapinsko-zagorska županija, 49290, Hrvatska",nominatim
2,CIGLENICA,46.3123951,16.3329490,"Ciglenica, Texas, Centar, Varaždin, Grad Varaždin, Varaždinska županija, 42000, Hrvatska",nominatim
2,DIMITROVEC,,,,nominatim
2,DRUŠKOVEC,46.2594132,16.1550276,"Druškovec, Općina Maruševec, Varaždinska županija, 42243, Hrvatska",nominatim
2,DRUŽKOVEC,,,,nominatim
2,FERKULJEVEC,,,,nominatim
2,FODOROVEC,,,,nominatim
2,GOJANEC,46.2859049,16.3029011,"Gojanec, Grad Varaždin, Varaždinska županija, Hrvatska",nominatim
2,GORIČANOVEC,46.1816180,15.8121486,"Goričanovec, Općina Đurmanec, Krapinsko-zagorska županija, Hrvatska",nominatim
2,GOTALOVEC,46.1566949,16.2192725,"Gotalovec, Općina Budinšćina, Krapinsko-zagorska županija, Hrvatska",nominatim
2,GRABE,46.0747054,16.0078977,"Grabe, Općina Bedekovčina, Krapinsko-zagorska županija, Hrvatska",nominatim
2,GREGUROVEC,46.1554811,15.9895455,"Gregurovec, Općina Mihovljan, Krapinsko-zagorska županija, 49255, Hrvatska",nominatim
2,GUBAŠEVO,46.0198728,15.8656988,"Gubaševo, Grad Zabok, Krapinsko-zagorska županija, Hrvatska",nominatim
2,IMBRIOVEC,46.2563933,16.8216410,"Imbriovec, Općina Đelekovec, Koprivničko-križevačka županija, Hrvatska",nominatim
