place_id,group_key,canonical_name,modern_place,needs_review
909,fintinc,Fynthyncz,Fištinec
924,fintinc,Fynthyncz,Fištinec
925,fintinc,Fynthyncz,Fištinec
919,ficovc,Fychowcz,Finčevac
923,fincevc,Fynchewcz,Finčevac
939,gardova,Gardowa,Grdjevac
992,gorbova,Gorbowa,Grbavac
1036,gradac,Gradacz,Gradec
1056,greda,Greda,Greda,1
1085,grobosinc,Grobosincz,Grubišno Polje
1086,grobosinc,Grobosincz,Grubišno Polje
1121,habianovc,Habyanowcz,Habjanovac
1134,hemovc,Hemowcz,Djurdjić
1151,herzova,Herzowa,Hrsovo
1160,hotniazentpal,Hothnya Zenth Pal,Stari Pavljani
1196,hrvsovc,Hrwsowcz,Ruševac
1197,hrvsovc,Hrwsowcz,Ruševac
1201,hrvsovc,Hrwsowcz,Ruševac
1202,hrvsovc,Hrwsowcz,Ruševac
1204,hrvsovc,Hrwsowcz,Ruševac
1208,hrvsovc,Hrwsowcz,Ruševac
1209,hrvsovc,Hrwsowcz,Ruševac
1238,isanovc,Isanowcz,Hižanovec
1259,jacopovc,Jacopowcz,Jakupovac Kapelski
1262,jacopovc,Jacopowcz,Jakupovac Kapelski
1263,jacopovc,Jacopowcz,Jakupovac Kapelski
1264,jacopovc,Jacopowcz,Jakupovac Kapelski
1327,jarosina,Jarosyna,Herešin
1328,jarosina,Jarosyna,Herešin
1465,clvc,Klwch,Lipovac Lonjski
1489,kocan,Kochan,Konščani
1494,kocice,Kochycze,Konščani
1530,kopakovc,Kopakowcz,Gornja Kovačica
1538,korbava,Korbawa,Grdjevac
1543,koren,Koren,Korenovo
1549,koroska,Koroska,Koruška
1551,korvska,Koruska,Koruška
1621,kralovc,Kralowcz,Kraljevac Križevački
1696,kvzmovc,Kwzmowcz,Kusanovec
1812,loki,Loky,Loky
1822,lvbena,Lubena,Lubena
1830,lvbena,Lubena,Lubena
1831,lvbena,Lubena,Lubena
1832,lvbena,Lubena,Lubena
1835,lvbena,Lubena,Lubena
1905,magalovc,Magalowcz,Maglenca
1906,magalovc,Magalowcz,Maglenca
1918,mancevc,Manchewcz,Mučna
1946,martinovc,Marthynowcz,Martinac Trojstveni
2025,mikecinc,Mikechincz,Martinec
2103,mikvsevc,Mykusewcz,Miklouš
2184,nofkovc,Nofkowcz,Novaki
2212,obcevc,Obchewcz,Općevac
2213,obcevc,Obchewcz,Općevac
2241,okcevc,Okchewcz,Općevac
2273,opatovc,Opathowcz,Apatovac
2274,opatovc,Opathowcz,Apatovac
2275,opatovc,Opathowcz,Apatovac
2276,opatovc,Opathowcz,Apatovac
2280,opatovc,Opathowcz,Apatovac
2281,opatovc,Opathowcz,Apatovac
2282,opatovc,Opathowcz,Apatovac
2283,opatovc,Opathowcz,Apatovac
2284,opatovc,Opathowcz,Apatovac
2285,opatovc,Opathowcz,Apatovac
2286,opatovc,Opathowcz,Apatovac
2287,opatovc,Opathowcz,Apatovac
2288,opatovc,Opathowcz,Apatovac
91,bacin,Bachyn,Ploščica
94,bahonin,Bahonyn,Marinkovec
95,bahonin,Bahonyn,Marinkovec
107,bantvsovc,Banthusovcz,Bolč
108,bantvsovc,Banthusovcz,Bolč
125,bedovc,Bedowcz,Klokočevac
132,bedovc,Bedowcz,Klokočevac
133,bedovc,Bedowcz,Klokočevac
151,belcevc,Belcheucz,Grabrić
152,belcevc,Belcheucz,Grabrić
159,belosovc,Belosowcz,Čepelovac
166,belosovc,Belosowcz,Čepelovac
168,belosovc,Belosowcz,Čepelovac
179,belosovc,Belosowcz,Čepelovac
165,belkovc,Belkowcz,Grabrić
182,belivdovc,Belywdowcz,Djurdjevac
